CustomerID,Gender,Type
739235,M,REGULAR
742417,F,REGULAR
745467,M,REGULAR
752934,F,REGULAR
757557,F,REGULAR
759707,M,REGULAR
760099,NA,REGULAR
762279,M,REGULAR
791602,M,REGULAR
793258,M,REGULAR
797033,M,REGULAR
798881,M,GEM
807393,F,GEM
814025,F,GEM
817049,F,GEM
817092,NA,GEM
818144,NA,GEM
819544,NA,GEM
821099,F,GEM
824096,M,GEM
829353,F,GEM
832994,M,GEM
833456,F,GEM
922579,F,GEM
922735,M,GEM
929163,NA,GEM
932219,M,GEM
942536,M,GEM
944730,M,GEM
949337,M,GEM
951588,M,REGULAR
953379,F,GEM
954999,F,REGULAR
956010,F,GEM
964357,NA,REGULAR
969697,NA,REGULAR
978986,NA,GEM
986221,F,REGULAR
995000,M,REGULAR
1007438,F,REGULAR
1009378,M,REGULAR
1013706,F,REGULAR
1016268,F,REGULAR
1016541,M,REGULAR
1023699,NA,REGULAR
1024344,M,REGULAR
1042422,F,REGULAR
1048902,M,REGULAR
1049792,F,REGULAR
1053953,F,REGULAR
1055353,M,REGULAR
1066004,NA,GEM
1068265,M,GEM
1101186,M,GEM
1102375,M,GEM
1105771,M,GEM
1107531,M,GEM
1109607,F,GEM
1116025,F,GEM
1116317,F,REGULAR
1116318,NA,REGULAR
1116967,NA,GEM
1121721,NA,GEM
1123285,F,GEM
1124760,M,GEM
1126874,F,GEM
1129230,M,REGULAR
1130822,F,GEM
1131792,F,GEM
1138072,M,GEM
1143666,NA,GEM
1148276,M,REGULAR
1149862,M,REGULAR
1150632,M,REGULAR
1153661,M,REGULAR
1154233,M,REGULAR
1154363,F,REGULAR
1156360,F,REGULAR
1156720,F,REGULAR
1156988,NA,REGULAR
1157513,NA,REGULAR
1157559,NA,REGULAR
1157672,F,REGULAR
1158861,M,REGULAR
1158867,F,REGULAR
1163307,M,REGULAR
1164803,F,REGULAR
1165883,F,REGULAR
1168177,M,REGULAR
1168639,NA,REGULAR
1168712,M,REGULAR
1169012,M,REGULAR
1170509,M,REGULAR
1189063,M,REGULAR
1190147,M,REGULAR
1193237,F,REGULAR
1193330,F,REGULAR
1193702,F,REGULAR
1193715,NA,REGULAR
1193719,NA,REGULAR
1193722,NA,REGULAR
1193723,F,REGULAR
1193728,M,REGULAR
1193736,F,REGULAR
1193737,M,REGULAR
1193741,F,REGULAR
1193744,F,REGULAR
1202988,M,REGULAR
1203581,NA,REGULAR
1203614,M,GEM
1203616,M,GEM
1203638,M,GEM
1203642,M,GEM
1203661,M,GEM
1203676,F,GEM
1203754,F,GEM
1203757,F,GEM
1203823,NA,GEM
1203942,NA,GEM
1203944,NA,GEM
1203945,F,GEM
1203951,M,GEM
1203954,F,GEM
1203955,M,GEM
1203959,F,GEM
1206905,F,GEM
1206920,M,GEM
1206935,NA,GEM
1206954,M,REGULAR
1206955,F,GEM
1206956,F,REGULAR
1206962,M,GEM
1206966,NA,REGULAR
1206976,M,REGULAR
1206991,F,GEM
1206992,F,REGULAR
1206994,M,REGULAR
1206997,NA,REGULAR
1207003,M,REGULAR
1207050,M,REGULAR
2100,M,REGULAR
4617,M,REGULAR
6845,M,REGULAR
16898,M,REGULAR
27273,M,REGULAR
34861,NA,REGULAR
48919,NA,REGULAR
72724,NA,REGULAR
86872,F,REGULAR
87847,M,GEM
92475,F,GEM
94919,M,GEM
137810,F,GEM
181867,M,GEM
190452,F,GEM
193616,M,GEM
199941,M,GEM
212151,F,REGULAR
242158,F,REGULAR
253514,M,GEM
272319,NA,GEM
272569,M,GEM
275080,F,GEM
288516,F,GEM
323903,M,REGULAR
337245,NA,GEM
347100,NA,GEM
351897,NA,GEM
356229,F,GEM
356716,M,REGULAR
359213,F,REGULAR
359257,M,REGULAR
361261,F,REGULAR
424743,M,REGULAR
450564,F,REGULAR
464116,M,REGULAR
470311,F,REGULAR
480162,F,REGULAR
480945,M,REGULAR
481166,NA,REGULAR
481712,M,REGULAR
500485,F,REGULAR
513293,F,REGULAR
513832,M,REGULAR
535336,NA,REGULAR
542699,M,REGULAR
544371,F,REGULAR
596088,F,REGULAR
623269,M,REGULAR
624903,NA,REGULAR
627431,M,REGULAR
649268,F,REGULAR
652056,F,REGULAR
653449,M,REGULAR
669494,F,REGULAR
669658,M,REGULAR
671421,F,REGULAR
680978,M,REGULAR
682273,F,REGULAR
686975,M,REGULAR
687971,F,REGULAR
693364,M,REGULAR
700762,M,REGULAR
701335,M,REGULAR
701848,M,REGULAR
704939,M,REGULAR
705012,M,REGULAR
705031,M,GEM
709613,M,GEM
711180,NA,GEM
714232,NA,GEM
722630,NA,GEM
723360,F,GEM
724019,M,GEM
724191,F,GEM
730076,M,GEM
732068,F,GEM
738612,M,GEM
740046,F,GEM
742021,M,GEM
755289,NA,GEM
755581,NA,GEM
756544,F,GEM
757442,M,GEM
768431,F,GEM
786373,M,GEM
790592,F,REGULAR
813471,M,GEM
818570,F,REGULAR
823411,M,GEM
824913,M,REGULAR
826436,M,REGULAR
832664,NA,GEM
922117,M,REGULAR
924332,F,REGULAR
924566,M,REGULAR
933884,M,REGULAR
933921,M,REGULAR
935934,M,REGULAR
937890,M,REGULAR
940438,F,REGULAR
953052,F,REGULAR
955429,F,REGULAR
958122,NA,REGULAR
958391,NA,REGULAR
980454,NA,REGULAR
988988,F,REGULAR
992210,M,GEM
993786,F,GEM
1000930,M,GEM
1037278,F,GEM
1038620,F,GEM
